Player,Age,Team,Inn,Fld%,Rtot,Rdrs,DRP,outs_above_average,FRV,Rtot_percentile,Rdrs_percentile,DRP_percentile,outs_above_average_percentile,Fld%_percentile,FRV_percentile
Steven Kwan,27,CLE,1329.0,0.976,13.0,22.0,3.6,6.0,12.0,95.37,99.77,83.96,78.42,18.98,93.16
Brice Turang,25,MIL,1329.0,0.984,5.0,6.0,2.7,-3.0,-0.0,67.82,72.22,78.54,29.47,39.35,48.11
Cody Bellinger,29,NYY,1321.2,0.991,9.0,11.0,11.7,7.0,9.0,85.42,87.5,97.64,81.84,58.1,88.21
Christian Walker,34,HOU,1316.0,0.995,-6.0,-7.0,-0.2,2.0,2.0,19.91,16.9,46.7,59.21,80.09,61.32
Anthony Volpe,24,NYY,1303.2,0.963,4.0,2.0,2.6,-6.0,-5.0,62.73,59.03,76.65,15.53,5.09,15.8
Fernando Tatis Jr.,26,SDP,1299.0,0.992,31.0,15.0,17.0,8.0,9.0,100.0,93.98,99.53,85.79,63.66,88.21
TJ Friedl,29,CIN,1295.0,0.992,-1.0,-10.0,-6.5,1.0,0.0,36.81,10.42,5.9,53.42,63.66,48.11
Brandon Nimmo,32,NYM,1283.2,0.996,-13.0,3.0,3.8,-1.0,-1.0,3.7,63.19,85.14,41.05,87.5,39.39
Mookie Betts,32,LAD,1279.0,0.986,13.0,17.0,6.7,5.0,3.0,95.37,96.76,91.04,74.21,43.06,68.16
Jung Hoo Lee,26,SFG,1275.2,0.991,-20.0,-18.0,-10.4,-5.0,-2.0,0.69,1.39,0.94,19.21,58.1,31.37
Ian Happ,30,CHC,1274.1,0.997,27.0,9.0,13.5,0.0,0.0,99.54,82.41,98.35,46.58,93.75,48.11
Spencer Torkelson,25,DET,1272.0,0.996,-2.0,0.0,0.6,-2.0,-1.0,31.71,48.84,56.6,35.53,87.5,39.39
Ernie Clement,29,TOR,1265.1,0.979,10.0,22.0,2.7,13.0,10.0,88.43,99.77,78.54,93.68,26.39,89.86
Tyler Soderstrom,23,ATH,1261.2,0.991,13.0,9.0,2.6,0.0,-1.0,95.37,82.41,76.65,46.58,58.1,39.39
Jackson Holliday,21,BAL,1259.2,0.982,-10.0,-11.0,-3.7,-8.0,-6.0,8.8,8.1,16.75,10.53,34.95,12.97
Junior Caminero,21,TBR,1259.1,0.945,-2.0,-5.0,-0.5,-3.0,-2.0,31.71,23.38,43.16,29.47,0.46,31.37
Jo Adell,26,LAA,1259.0,0.98,-13.0,-14.0,-9.5,-12.0,-13.0,3.7,3.94,1.89,2.63,29.4,0.71
Manny Machado,32,SDP,1252.2,0.956,-7.0,3.0,-2.4,-6.0,-4.0,17.82,63.19,25.47,15.53,2.78,20.05
Gunnar Henderson,24,BAL,1249.2,0.986,0.0,-3.0,-1.8,-3.0,-1.0,42.59,32.87,29.25,29.47,43.06,39.39
Freddie Freeman,35,LAD,1239.0,0.997,-5.0,-7.0,-1.1,-3.0,-1.0,22.92,16.9,37.74,29.47,93.75,39.39
Lawrence Butler,24,ATH,1236.1,0.995,1.0,0.0,-0.9,4.0,1.0,47.22,48.84,39.39,69.74,80.09,54.72
CJ Abrams,24,WSN,1224.1,0.962,-11.0,-6.0,-0.4,-11.0,-9.0,6.94,20.37,44.58,4.47,4.4,5.42
Otto López,26,MIA,1222.0,0.977,-1.0,13.0,,,,36.81,91.67,,,21.3,
Corbin Carroll,24,ARI,1218.1,0.997,13.0,8.0,13.5,10.0,7.0,95.37,78.24,98.35,90.79,93.75,83.25
Joey Ortiz,26,MIL,1217.2,0.982,7.0,-2.0,-0.9,12.0,10.0,76.62,38.89,39.39,92.89,34.95,89.86
Trea Turner,32,PHI,1216.1,0.984,-3.0,2.0,0.4,17.0,11.0,28.94,59.03,54.25,96.05,39.35,91.27
Matt McLain,25,CIN,1210.2,0.986,2.0,-8.0,-2.9,4.0,6.0,51.85,13.89,22.17,69.74,43.06,79.48
Nick Castellanos,33,PHI,1208.1,1.0,-9.0,-11.0,-1.9,-12.0,-12.0,11.57,8.1,28.54,2.63,99.54,1.89
Bryson Stott,27,PHI,1191.0,0.993,5.0,0.0,0.8,8.0,2.0,67.82,48.84,57.55,85.79,68.29,61.32
Sal Frelick,25,MIL,1190.0,0.99,13.0,6.0,7.9,6.0,6.0,95.37,72.22,91.98,78.42,54.17,79.48
Michael Busch,27,CHC,1185.0,0.996,5.0,2.0,1.2,-1.0,-2.0,67.82,59.03,62.74,41.05,87.5,31.37
Xavier Edwards,25,MIA,1174.0,0.98,1.0,9.0,3.5,2.0,3.0,47.22,82.41,82.55,59.21,29.4,68.16
Luis Rengifo,28,LAA,1174.0,0.972,10.0,0.0,1.5,-4.0,-0.0,88.43,48.84,66.75,23.68,14.12,48.11
Wyatt Langford,23,TEX,1160.2,0.994,11.0,16.0,6.1,10.0,9.0,90.51,95.37,90.09,90.79,73.61,88.21
Jordan Beck,24,COL,1159.1,0.989,-3.0,1.0,-3.4,-2.0,-0.0,28.94,54.63,19.1,35.53,52.55,48.11
J.T. Realmuto,34,PHI,1151.1,0.995,6.0,-2.0,-5.7,,-5.0,72.22,38.89,8.49,,80.09,15.8
Zach McKinstry,30,DET,1147.2,0.969,6.0,-3.0,-0.1,0.0,-1.0,72.22,32.87,48.35,46.58,8.56,39.39
Riley Greene,24,DET,1146.1,0.993,-3.0,-7.0,3.6,2.0,-3.0,28.94,16.9,83.96,59.21,68.29,25.47
Gleyber Torres,28,DET,1146.1,0.99,4.0,-4.0,-5.8,-4.0,-3.0,62.73,27.31,7.78,23.68,54.17,25.47
José Ramírez,32,CLE,1145.2,0.961,1.0,0.0,1.0,7.0,6.0,47.22,48.84,59.91,81.84,3.47,79.48
Bo Bichette,27,TOR,1139.0,0.972,-13.0,-12.0,-3.0,-13.0,-10.0,3.7,6.25,21.46,1.32,14.12,3.77
Jackson Chourio,21,MIL,1138.2,0.993,-4.0,-4.0,-5.9,3.0,1.0,26.39,27.31,7.08,64.47,68.29,54.72
Jake Cronenworth,31,SDP,1136.1,0.98,-4.0,-8.0,-1.2,0.0,-1.0,26.39,13.89,36.56,46.58,29.4,39.39
Trent Grisham,28,NYY,1133.0,0.993,-4.0,-11.0,-4.0,-2.0,-3.0,26.39,8.1,14.15,35.53,68.29,25.47
Bryce Harper,32,PHI,1132.2,0.998,0.0,-3.0,0.3,1.0,-1.0,42.59,32.87,52.12,53.42,96.99,39.39
Brooks Lee,24,MIN,1132.2,0.975,-12.0,-16.0,-3.7,-4.0,-3.0,5.56,2.78,16.75,23.68,17.82,25.47
Nolan Schanuel,23,LAA,1131.0,0.994,-7.0,-5.0,-1.4,-2.0,-1.0,17.82,23.38,33.96,35.53,73.61,39.39
Lars Nootbaar,27,STL,1128.0,0.996,-9.0,1.0,-3.6,-1.0,-4.0,11.57,54.63,18.16,41.05,87.5,20.05
Miguel Vargas,25,CHW,1127.1,0.982,-18.0,1.0,-2.1,-6.0,-4.0,1.39,54.63,26.65,15.53,34.95,20.05
Vladimir Guerrero Jr.,26,TOR,1126.2,0.991,-2.0,8.0,-1.5,-1.0,-1.0,31.71,78.24,32.31,41.05,58.1,39.39
Adolis García,32,TEX,1124.0,0.993,2.0,16.0,1.4,1.0,2.0,51.85,95.37,65.09,53.42,68.29,61.32
Victor Scott II,24,STL,1118.0,0.983,9.0,12.0,10.1,17.0,12.0,85.42,89.35,95.75,96.05,37.04,93.16
Matt Chapman,32,SFG,1116.1,0.961,-5.0,5.0,0.2,4.0,4.0,22.92,69.21,51.18,69.74,3.47,72.88
William Contreras,27,MIL,1113.2,0.995,2.0,0.0,1.5,,3.0,51.85,48.84,66.75,,80.09,68.16
Marcus Semien,34,TEX,1108.1,0.996,13.0,5.0,2.7,7.0,6.0,95.37,69.21,78.54,81.84,87.5,79.48
Caleb Durbin,25,MIL,1108.0,0.978,7.0,4.0,1.1,2.0,1.0,76.62,66.9,61.08,59.21,23.84,54.72
Masyn Winn,23,STL,1107.2,0.994,3.0,2.0,-1.6,21.0,17.0,57.18,59.03,30.66,98.42,73.61,97.17
Teoscar Hernández,32,LAD,1106.0,0.992,3.0,1.0,-1.9,-10.0,-9.0,57.18,54.63,28.54,6.32,63.66,5.42
Luis García Jr.,25,WSN,1093.1,0.988,-11.0,-17.0,-3.7,-7.0,-4.0,6.94,2.31,16.75,12.37,50.23,20.05
Brenton Doyle,27,COL,1090.2,0.995,0.0,0.0,-8.2,6.0,11.0,42.59,48.84,3.3,78.42,80.09,91.27
Jazz Chisholm Jr.,27,NYY,1089.0,0.962,3.0,-2.0,1.3,5.0,2.0,57.18,38.89,63.68,74.21,4.4,61.32
Josh Jung,27,TEX,1086.2,0.978,7.0,-3.0,-0.5,5.0,3.0,76.62,32.87,43.16,74.21,23.84,68.16
Vinnie Pasquantino,27,KCR,1084.1,0.996,7.0,-2.0,-0.4,-7.0,-4.0,76.62,38.89,44.58,12.37,87.5,20.05
Xander Bogaerts,32,SDP,1083.1,0.98,7.0,-4.0,1.7,8.0,7.0,76.62,27.31,69.58,85.79,29.4,83.25
Spencer Steer,27,CIN,1082.2,0.998,4.0,4.0,0.9,3.0,2.0,62.73,66.9,58.73,64.47,96.99,61.32
Alek Thomas,25,ARI,1080.1,0.991,-1.0,-7.0,-4.6,0.0,0.0,36.81,16.9,12.26,46.58,58.1,48.11
Cam Smith,22,HOU,1079.1,0.992,10.0,12.0,4.2,1.0,0.0,88.43,89.35,86.79,53.42,63.66,48.11
Zach Neto,24,LAA,1078.1,0.979,1.0,13.0,1.2,-7.0,-4.0,47.22,91.67,62.74,12.37,26.39,20.05
Luis Arráez,28,SDP,1075.2,0.999,-1.0,1.0,,,,36.81,54.63,,,98.38,
Cal Raleigh,28,SEA,1072.0,0.996,0.0,2.0,10.9,,7.0,42.59,59.03,96.7,,87.5,83.25
Nick Allen,26,ATL,1070.2,0.986,1.0,12.0,3.5,17.0,13.0,47.22,89.35,82.55,96.05,43.06,95.28
Lenyn Sosa,25,CHW,1070.2,0.979,-5.0,-10.0,-1.5,-3.0,-2.0,22.92,10.42,32.31,29.47,26.39,31.37
Gabriel Arias,25,CLE,1070.1,0.97,4.0,3.0,3.6,3.0,2.0,62.73,63.19,83.96,64.47,9.95,61.32
James Wood,22,WSN,1067.1,0.987,4.0,1.0,4.1,-7.0,-6.0,62.73,54.63,86.32,12.37,46.99,12.97
Jeremy Peña,27,HOU,1061.2,0.979,8.0,5.0,1.6,8.0,6.0,81.25,69.21,67.92,85.79,26.39,79.48
Oneil Cruz,26,PIT,1061.1,0.966,-2.0,-14.0,-3.8,0.0,4.0,31.71,3.94,15.09,46.58,6.48,72.88
Ángel Martínez,23,CLE,1057.2,0.971,-9.0,-10.0,,,,11.57,10.42,,,11.81,
Alec Bohm,28,PHI,1057.1,0.986,7.0,-2.0,1.1,-1.0,-3.0,76.62,38.89,61.08,41.05,43.06,25.47
Jacob Wilson,23,ATH,1053.2,0.979,-10.0,-10.0,-7.7,-2.0,-2.0,8.8,10.42,4.01,35.53,26.39,31.37
Brandon Lowe,30,TBR,1034.1,0.984,-9.0,-14.0,-5.8,-13.0,-9.0,11.57,3.94,7.78,1.32,39.35,5.42
Josh Smith,27,TEX,1033.1,0.987,-1.0,-4.0,-1.3,-5.0,-2.0,36.81,27.31,35.14,19.21,46.99,31.37
Kyle Isbel,28,KCR,1032.0,0.997,11.0,9.0,5.6,12.0,10.0,90.51,82.41,88.92,92.89,93.75,89.86
Patrick Bailey,26,SFG,1029.2,0.994,2.0,19.0,23.5,,31.0,51.85,98.38,100.0,,73.61,100.0
Paul Goldschmidt,37,NYY,1028.1,0.995,-2.0,-1.0,-0.8,-3.0,-2.0,31.71,43.75,40.57,29.47,80.09,31.37
Addison Barger,25,TOR,1026.1,0.967,0.0,-3.0,0.9,-4.0,-0.0,42.59,32.87,58.73,23.68,7.87,48.11
Javier Báez,32,DET,1022.1,0.977,13.0,3.0,-0.4,5.0,2.0,95.37,63.19,44.58,74.21,21.3,61.32
Chase Meidroth,23,CHW,1019.1,0.972,-6.0,-3.0,0.4,2.0,4.0,19.91,32.87,54.25,59.21,14.12,72.88
Matt Shaw,23,CHC,1016.0,0.977,4.0,11.0,2.7,-2.0,-1.0,62.73,87.5,78.54,35.53,21.3,39.39
Salvador Perez,35,KCR,1013.1,0.999,6.0,-18.0,-6.3,,-8.0,72.22,1.39,6.6,,98.38,8.73
Willson Contreras,33,STL,1011.2,0.991,2.0,-1.0,0.1,6.0,4.0,51.85,43.75,50.24,78.42,58.1,72.88
Dillon Dingler,26,DET,1011.2,0.993,9.0,6.0,9.0,,12.0,85.42,72.22,92.69,,68.29,93.16
Michael Conforto,32,LAD,1010.0,0.98,2.0,-5.0,-2.8,-8.0,-8.0,51.85,23.38,22.64,10.53,29.4,8.73
Max Kepler,32,PHI,1008.1,0.995,3.0,1.0,1.4,-1.0,-2.0,57.18,54.63,65.09,41.05,80.09,31.37
Lourdes Gurriel Jr.,31,ARI,1006.1,0.986,1.0,-3.0,-4.4,-3.0,-3.0,47.22,32.87,12.74,29.47,43.06,25.47
Bryan Reynolds,30,PIT,1004.0,0.992,14.0,1.0,2.2,-2.0,-4.0,97.92,54.63,75.0,35.53,63.66,20.05
Brendan Donovan,28,STL,1002.0,0.991,-8.0,-4.0,-2.1,-1.0,-1.0,15.05,27.31,26.65,41.05,58.1,39.39
Kyle Tucker,28,CHC,1001.2,0.989,1.0,-1.0,-5.2,-2.0,0.0,47.22,43.75,9.91,35.53,52.55,48.11
Jackson Merrill,22,SDP,1001.1,0.997,0.0,0.0,-1.5,3.0,5.0,42.59,48.84,32.31,64.47,93.75,76.18
Austin Wells,25,NYY,1001.0,0.997,7.0,-7.0,11.6,,12.0,76.62,16.9,97.17,,93.75,93.16
Yainer Diaz,26,HOU,990.0,0.997,-1.0,1.0,-6.5,,-3.0,36.81,54.63,5.9,,93.75,25.47
Eric Wagaman,27,MIA,985.2,0.988,6.0,-2.0,-0.9,-2.0,-3.0,72.22,38.89,39.39,35.53,50.23,25.47
Byron Buxton,31,MIN,973.0,0.993,-14.0,-5.0,-7.7,3.0,2.0,2.31,23.38,4.01,64.47,68.29,61.32
Alex Bregman,31,BOS,972.1,0.969,3.0,1.0,1.1,3.0,3.0,57.18,54.63,61.08,64.47,8.56,68.16
Nick Kurtz,22,ATH,970.2,0.988,3.0,2.0,-0.6,-6.0,-5.0,57.18,59.03,41.98,15.53,50.23,15.8
Alejandro Kirk,26,TOR,965.1,0.991,5.0,9.0,6.3,,22.0,67.82,82.41,90.57,,58.1,99.29
Mauricio Dubón,30,HOU,960.2,0.983,11.0,14.0,1.6,20.0,17.0,90.51,93.06,67.92,97.37,37.04,97.17
Brandon Marsh,27,PHI,952.0,0.984,-10.0,-7.0,-8.8,1.0,1.0,8.8,16.9,2.83,53.42,39.35,54.72
Carlos Narváez,26,BOS,952.0,0.991,5.0,11.0,4.6,,12.0,67.82,87.5,87.26,,58.1,93.16
Tommy Pham,37,PIT,949.2,0.981,6.0,4.0,-1.5,-3.0,-4.0,72.22,66.9,32.31,29.47,32.18,20.05
Brett Baty,25,NYM,946.0,0.978,-4.0,7.0,0.4,1.0,-1.0,26.39,75.23,54.25,53.42,23.84,39.39
Bo Naylor,25,CLE,945.1,0.993,2.0,0.0,-2.6,,-0.0,51.85,48.84,23.82,,68.29,48.11
Alec Burleson,26,STL,945.0,0.99,-8.0,-6.0,-3.4,-4.0,-6.0,15.05,20.37,19.1,23.68,54.17,12.97
Brayan Rocchio,24,CLE,944.1,0.971,-3.0,-6.0,-1.6,-4.0,-2.0,28.94,20.37,30.66,23.68,11.81,31.37
Jake Mangum,29,TBR,933.1,1.0,3.0,3.0,10.4,6.0,4.0,57.18,63.19,96.23,78.42,99.54,72.88
Daniel Schneemann,28,CLE,933.1,0.994,4.0,8.0,0.2,8.0,8.0,62.73,78.24,51.18,85.79,73.61,86.32
Shea Langeliers,27,ATH,928.0,0.991,-1.0,-10.0,-9.4,,-3.0,36.81,10.42,2.36,,58.1,25.47
Nathan Lukes,30,TOR,909.1,0.991,0.0,10.0,-3.8,1.0,5.0,42.59,85.88,15.09,53.42,58.1,76.18
Pedro Pagés,26,STL,908.2,0.994,3.0,9.0,7.0,,6.0,57.18,82.41,91.51,,73.61,79.48
Jacob Young,25,WSN,901.1,1.0,13.0,13.0,9.2,14.0,15.0,95.37,91.67,93.4,94.47,99.54,96.23
Nolan Jones,27,CLE,892.0,0.995,8.0,-4.0,-4.9,-5.0,-1.0,81.25,27.31,11.79,19.21,80.09,39.39
Austin Riley,28,ATL,888.2,0.953,-2.0,-2.0,1.1,-1.0,-1.0,31.71,38.89,61.08,41.05,1.62,39.39
Mickey Moniak,27,COL,887.0,0.972,-20.0,-23.0,-4.3,-8.0,-12.0,0.69,0.46,13.21,10.53,14.12,1.89
Jonathan India,28,KCR,886.1,0.966,0.0,-6.0,-3.0,-14.0,-9.0,42.59,20.37,21.46,0.53,6.48,5.42
Jordan Walker,23,STL,885.1,0.981,-9.0,-11.0,-3.3,-4.0,-6.0,11.57,8.1,20.05,23.68,32.18,12.97
Nolan Arenado,34,STL,880.2,0.982,-1.0,6.0,0.9,3.0,2.0,36.81,72.22,58.73,64.47,34.95,61.32
Isaac Collins,27,MIL,880.0,0.973,-12.0,-3.0,3.8,3.0,0.0,5.56,32.87,85.14,64.47,15.74,48.11
Ketel Marte,31,ARI,878.0,0.986,3.0,1.0,1.4,1.0,-1.0,57.18,54.63,65.09,53.42,43.06,39.39
Chandler Simpson,24,TBR,873.0,0.995,-8.0,-9.0,-3.8,-5.0,-6.0,15.05,12.5,15.09,19.21,80.09,12.97
Jose Altuve,35,HOU,870.1,0.982,-1.0,-18.0,-3.6,-5.0,-6.0,36.81,1.39,18.16,19.21,34.95,12.97
Jeff McNeil,33,NYM,870.0,0.984,-8.0,-3.0,-2.1,2.0,-0.0,15.05,32.87,26.65,59.21,39.35,48.11
Logan O'Hoppe,25,LAA,869.0,0.994,-6.0,-10.0,-11.2,,-12.0,19.91,10.42,0.47,,73.61,1.89
Luis Robert Jr.,27,CHW,865.2,0.997,5.0,0.0,-3.1,7.0,7.0,67.82,48.84,20.75,81.84,93.75,83.25
Will Smith,30,LAD,865.1,0.996,-1.0,-8.0,-6.8,,-8.0,36.81,13.89,4.72,,87.5,8.73
Carson Kelly,30,CHC,864.0,0.998,12.0,3.0,-5.2,,3.0,92.36,63.19,9.91,,96.99,68.16
Kyle Stowers,27,MIA,857.0,0.996,5.0,1.0,-2.0,-3.0,-0.0,67.82,54.63,27.83,29.47,87.5,48.11
Josh Lowe,27,TBR,854.1,0.995,8.0,-3.0,2.1,-4.0,-5.0,81.25,32.87,72.88,23.68,80.09,15.8
Wilyer Abreu,26,BOS,847.1,0.978,20.0,15.0,9.3,8.0,8.0,99.07,93.98,93.87,85.79,23.84,86.32
Jared Triolo,27,PIT,846.0,0.981,6.0,9.0,0.6,6.0,5.0,72.22,82.41,56.6,78.42,32.18,76.18
Jake Meyers,29,HOU,844.0,0.996,9.0,5.0,10.0,9.0,8.0,85.42,69.21,95.28,88.68,87.5,86.32
Hunter Goodman,25,COL,841.1,0.987,-5.0,-1.0,0.4,,1.0,22.92,43.75,54.25,,46.99,54.72
Nick Gonzales,26,PIT,839.2,0.974,-8.0,-12.0,-1.4,4.0,1.0,15.05,6.25,33.96,69.74,16.67,54.72
Andrés Giménez,26,TOR,838.2,0.992,-2.0,9.0,2.7,10.0,6.0,31.71,82.41,78.54,90.79,63.66,79.48
Spencer Horwitz,27,PIT,834.2,0.994,4.0,0.0,-0.2,1.0,1.0,62.73,48.84,46.7,53.42,73.61,54.72
Corey Seager,31,TEX,828.0,0.988,10.0,16.0,2.1,4.0,4.0,88.43,95.37,72.88,69.74,50.23,72.88
Royce Lewis,26,MIN,826.0,0.966,-1.0,-2.0,1.4,1.0,2.0,36.81,38.89,65.09,53.42,6.48,61.32
Aaron Judge,33,NYY,822.1,0.995,8.0,3.0,-3.7,3.0,5.0,81.25,63.19,16.75,64.47,80.09,76.18
Wenceel Pérez,25,DET,817.1,0.984,-1.0,-1.0,1.2,2.0,3.0,36.81,43.75,62.74,59.21,39.35,68.16
Tyrone Taylor,31,NYM,810.0,0.992,9.0,8.0,2.1,3.0,8.0,85.42,78.24,72.88,64.47,63.66,86.32
Tommy Edman,30,LAD,805.1,0.994,5.0,-1.0,2.7,8.0,7.0,67.82,43.75,78.54,85.79,73.61,83.25
Max Muncy,34,LAD,801.1,0.951,6.0,3.0,2.2,-6.0,-4.0,72.22,63.19,75.0,15.53,0.93,20.05
Ezequiel Tovar,23,COL,800.2,0.977,1.0,-2.0,0.4,3.0,3.0,47.22,38.89,54.25,64.47,21.3,68.16
Jonah Heim,30,TEX,800.1,0.996,0.0,-5.0,1.7,,-3.0,42.59,23.38,69.58,,87.5,25.47
Michael A. Taylor,34,CHW,793.1,0.987,9.0,8.0,2.1,3.0,2.0,85.42,78.24,72.88,64.47,46.99,61.32
Jasson Domínguez,22,NYY,793.0,0.989,-5.0,-7.0,-5.4,-10.0,-9.0,22.92,16.9,8.96,6.32,52.55,5.42
Javier Sanoja,22,MIA,785.0,0.989,0.0,7.0,0.6,0.0,2.0,42.59,75.23,56.6,46.58,52.55,61.32
Ronald Acuña Jr.,27,ATL,779.2,0.988,-8.0,-12.0,-5.2,-11.0,-8.0,15.05,6.25,9.91,4.47,50.23,8.73
Colton Cowser,25,BAL,766.2,0.991,3.0,6.0,-1.0,0.0,1.0,57.18,72.22,38.21,46.58,58.1,54.72
Isaac Paredes,26,HOU,766.2,0.975,-6.0,-4.0,-0.6,-3.0,-2.0,19.91,27.31,41.98,29.47,17.82,31.37
Jonathan Aranda,27,TBR,765.2,0.993,0.0,8.0,-0.2,1.0,2.0,42.59,78.24,46.7,53.42,68.29,61.32
Casey Schmitt,26,SFG,761.1,0.977,-7.0,-5.0,-1.6,-4.0,-2.0,17.82,23.38,30.66,23.68,21.3,31.37
Drake Baldwin,24,ATL,759.2,0.995,-1.0,-2.0,-1.7,,-1.0,36.81,38.89,29.72,,80.09,39.39
Trey Sweeney,25,DET,759.2,0.981,2.0,-5.0,-1.2,-6.0,-5.0,51.85,23.38,36.56,15.53,32.18,15.8
Luis Urías,28,ATH,759.1,0.982,-6.0,-3.0,-2.5,-6.0,-4.0,19.91,32.87,24.76,15.53,34.95,20.05
Jake Burger,29,TEX,756.2,0.993,5.0,1.0,0.1,-2.0,-1.0,67.82,54.63,50.24,35.53,68.29,39.39
Dane Myers,29,MIA,752.2,0.987,-5.0,3.0,-5.1,2.0,1.0,22.92,63.19,11.08,59.21,46.99,54.72
Taylor Walls,28,TBR,750.2,0.987,15.0,18.0,3.2,1.0,1.0,98.61,97.69,81.37,53.42,46.99,54.72
Miguel Rojas,36,LAD,746.0,0.986,2.0,7.0,0.0,6.0,5.0,51.85,75.23,49.29,78.42,43.06,76.18
Brooks Baldwin,24,CHW,737.2,0.966,-12.0,-12.0,-2.5,-11.0,-11.0,5.56,6.25,24.76,4.47,6.48,3.07
Noelvi Marté,23,CIN,732.2,0.972,-4.0,0.0,,,,26.39,48.84,,,14.12,
Jose Trevino,32,CIN,725.2,0.995,-5.0,-1.0,4.0,,-0.0,22.92,43.75,85.85,,80.09,48.11
Michael Toglia,26,COL,723.0,0.996,-8.0,-3.0,-2.7,-10.0,-8.0,15.05,32.87,23.11,6.32,87.5,8.73
