Player,Age,Team,Inn,Fld%,Rtot,Rdrs,DRP,outs_above_average,FRV,Rtot_percentile,Rdrs_percentile,DRP_percentile,outs_above_average_percentile,Fld%_percentile,FRV_percentile
Matt Olson,31,ATL,1429.0,0.996,14.0,17.0,3.5,9.0,8.0,97.92,96.76,82.55,88.68,87.5,86.32
Geraldo Perdomo,25,ARI,1425.0,0.971,8.0,3.0,5.6,5.0,3.0,81.25,63.19,88.92,74.21,11.81,68.16
Randy Arozarena,30,SEA,1408.1,0.984,6.0,-1.0,9.4,-6.0,-8.0,72.22,43.75,94.34,15.53,39.35,8.73
Julio Rodríguez,24,SEA,1406.1,0.991,11.0,9.0,9.0,10.0,10.0,90.51,82.41,92.69,90.79,58.1,89.86
Pete Alonso,30,NYM,1403.0,0.992,-7.0,-9.0,-1.4,-9.0,-8.0,17.82,12.5,33.96,8.42,63.66,8.73
Michael Harris II,24,ATL,1397.0,0.998,4.0,6.0,-0.4,8.0,7.0,62.73,72.22,44.58,85.79,96.99,83.25
Willy Adames,29,SFG,1389.2,0.974,1.0,-2.0,2.2,5.0,4.0,47.22,38.89,75.0,74.21,16.67,72.88
Ozzie Albies,28,ATL,1387.0,0.997,6.0,-3.0,3.0,-4.0,-4.0,72.22,32.87,80.42,23.68,93.75,20.05
Dansby Swanson,31,CHC,1387.0,0.981,-1.0,7.0,-1.2,4.0,2.0,36.81,75.23,36.56,69.74,32.18,61.32
J.P. Crawford,30,SEA,1384.2,0.977,7.0,-3.0,-2.1,-11.0,-9.0,76.62,32.87,26.65,4.47,21.3,5.42
Elly De La Cruz,23,CIN,1382.0,0.955,3.0,-5.0,-0.7,-2.0,-0.0,57.18,23.38,41.04,35.53,2.31,48.11
Francisco Lindor,31,NYM,1374.0,0.979,-10.0,-1.0,-3.3,5.0,3.0,8.8,43.75,20.05,74.21,26.39,68.16
Juan Soto,26,NYM,1374.0,0.996,-10.0,-7.0,-9.6,-12.0,-13.0,8.8,16.9,1.42,2.63,87.5,0.71
Trevor Story,32,BOS,1371.1,0.97,-11.0,-7.0,-4.2,-9.0,-8.0,6.94,16.9,13.68,8.42,9.95,8.73
Andy Pages,24,LAD,1369.0,0.971,4.0,8.0,2.2,10.0,12.0,62.73,78.24,75.0,90.79,11.81,93.16
Nico Hoerner,28,CHC,1363.0,0.994,7.0,17.0,5.5,14.0,13.0,76.62,96.76,88.21,94.47,73.61,95.28
Pete Crow-Armstrong,23,CHC,1357.0,0.995,5.0,15.0,9.6,23.0,21.0,67.82,93.98,94.81,99.47,80.09,98.58
Jarren Duran,28,BOS,1346.0,0.977,8.0,9.0,-0.9,-3.0,2.0,81.25,82.41,39.39,29.47,21.3,61.32
Bobby Witt Jr.,25,KCR,1340.0,0.983,8.0,3.0,1.7,25.0,20.0,81.25,63.19,69.58,100.0,37.04,98.11
Maikel Garcia,25,KCR,1336.2,0.981,12.0,10.0,5.7,17.0,13.0,92.36,85.88,89.62,96.05,32.18,95.28
Heliot Ramos,25,SFG,1332.2,0.97,-4.0,-6.0,-6.6,-9.0,-11.0,26.39,20.37,5.19,8.42,9.95,3.07
Ceddanne Rafaela,24,BOS,1332.1,0.98,8.0,21.0,16.0,21.0,22.0,81.25,99.07,99.06,98.42,29.4,99.29
Taylor Ward,31,LAA,1331.2,0.987,-8.0,-3.0,0.4,0.0,-2.0,15.05,32.87,54.25,46.58,46.99,31.37
