Player,Age,Team,Inn,Fld%,Rtot,Rdrs,DRP,outs_above_average,FRV,Rtot_percentile,Rdrs_percentile,DRP_percentile,outs_above_average_percentile,Fld%_percentile,FRV_percentile
Michael Conforto,31,SFG,835.0,0.987,-6.0,0.0,-6.3,-3.0,-12.0,16.36,46.59,6.48,24.87,43.64,9.42
Ke'Bryan Hayes,27,PIT,829.2,0.981,8.0,10.0,3.2,6.0,24.0,85.0,83.86,74.54,74.87,30.45,96.86
Luis Robert Jr.,26,CHW,828.2,0.992,-8.0,1.0,-2.3,1.0,7.0,10.23,52.5,24.77,50.0,67.5,69.32
Fernando Tatis Jr.,25,SDP,822.2,0.973,-7.0,0.0,0.8,-1.0,11.0,13.64,46.59,55.79,36.39,16.14,77.78
Tyler Freeman,25,CLE,817.0,0.988,1.0,3.0,-4.3,-4.0,-11.0,52.27,61.59,13.89,20.94,47.27,12.32
Santiago Espinal,29,CIN,816.2,0.976,-2.0,-5.0,-1.7,-4.0,-4.0,33.18,22.5,31.25,20.94,21.36,30.19
Connor Joe,31,PIT,816.2,0.992,-8.0,4.0,0.2,-1.0,-3.0,10.23,64.55,49.54,36.39,67.5,34.78
Thairo Estrada,28,SFG,811.2,0.995,-5.0,-7.0,-0.4,9.0,9.0,20.23,15.0,42.82,83.51,81.36,73.67
Lenyn Sosa,24,CHW,807.1,0.979,-8.0,-9.0,-2.1,-5.0,-5.0,10.23,9.32,26.16,16.23,25.45,26.33
Nick Gonzales,25,PIT,806.1,0.983,-1.0,-5.0,-1.7,2.0,2.0,40.23,22.5,31.25,56.54,34.09,55.31
Max Kepler,31,MIN,806.1,1.0,0.0,0.0,3.6,4.0,1.0,46.82,46.59,77.55,65.45,99.09,50.24
Anthony Rizzo,34,NYY,801.2,0.996,1.0,2.0,-1.1,-3.0,,52.27,57.95,36.11,24.87,88.64,
Tyler O'Neill,29,BOS,799.2,0.957,-2.0,1.0,1.6,-4.0,-8.0,33.18,52.5,64.12,20.94,2.27,17.87
Spencer Torkelson,24,DET,799.2,0.995,4.0,2.0,1.2,1.0,-1.0,67.95,57.95,59.72,50.0,81.36,41.3
Jonny DeLuca,25,TBR,794.0,0.991,5.0,5.0,4.9,7.0,,72.27,68.18,85.19,77.75,61.82,
Jake Cave,31,COL,790.2,0.995,-9.0,-6.0,-1.5,-2.0,,6.82,18.41,33.8,30.1,81.36,
LaMonte Wade Jr.,30,SFG,785.0,0.999,-5.0,1.0,-0.5,-3.0,-7.0,20.23,52.5,41.44,24.87,97.73,20.05
Ben Rortvedt,26,TBR,782.0,0.989,0.0,-1.0,-0.3,,1.0,46.82,40.45,44.21,,51.59,50.24
